,GDP,CPI,Unemployment,FedRate,Employment,IndustrialProduction,GDP_Normalized,CPI_Normalized,Unemployment_Normalized,FedRate_Normalized,Employment_Normalized,IndustrialProduction_Normalized
2023-08-01,27967.697,306.138,3.7,5.33,156176.0,103.0951,0.8496969574261345,0.8442064733485738,0.026315789473684233,1.0,0.894352990206293,0.9480656554735203
2023-09-01,27967.697,307.374,3.8,5.33,156334.0,103.3081,0.8496969574261345,0.859078329924197,0.035087719298245605,1.0,0.899840244495381,0.9590322613862197
2023-10-01,28296.967,307.653,3.9,5.33,156520.0,102.5781,0.8779456419367065,0.8624353266754904,0.043859649122807015,1.0,0.9062999235951934,0.9214471800891745
2023-11-01,28296.967,308.087,3.7,5.33,156661.0,102.8868,0.8779456419367065,0.8676573216219465,0.026315789473684233,1.0,0.9111967771063416,0.937341035700678
2023-12-01,28296.967,308.735,3.8,5.33,156930.0,102.6309,0.8779456419367065,0.8754542173023704,0.035087719298245605,1.0,0.9205390011808016,0.9241656626816178
2024-01-01,28624.069,309.794,3.7,5.33,157049.0,101.483,0.9060083297029079,0.8881963662615807,0.026315789473684233,1.0,0.9246718066263805,0.8650644095023322
2024-02-01,28624.069,311.022,3.9,5.33,157271.0,102.7267,0.9060083297029079,0.9029719648658402,0.043859649122807015,1.0,0.9323817461971244,0.9290980610216957
2024-03-01,28624.069,312.107,3.9,5.33,157517.0,102.5186,0.9060083297029079,0.9160269522319819,0.043859649122807015,1.0,0.9409251927484893,0.9183837385314015
2024-04-01,29016.714,313.016,3.9,5.33,157635.0,102.3568,0.9396940731039269,0.9269642642281315,0.043859649122807015,1.0,0.9450232687365423,0.9100532369507687
2024-05-01,29016.714,313.14,4.0,5.33,157828.0,102.9797,0.9396940731039269,0.9284562627842615,0.052631578947368425,1.0,0.9517260540390359,0.9421241234438226
2024-06-01,29016.714,313.131,4.1,5.33,157915.0,103.2534,0.9396940731039269,0.9283479725664777,0.0614035087719298,1.0,0.9547475168437869,0.9562159546095782
2024-07-01,29374.914,313.566,4.2,5.33,158003.0,102.5192,0.970424716016087,0.9335819997593546,0.07017543859649125,1.0,0.9578037091060637,0.9184146303790425
2024-08-01,29374.914,314.131,4.2,5.33,158074.0,103.0196,0.970424716016087,0.9403802189868844,0.07017543859649125,1.0,0.9602695005904007,0.9441784313119763
2024-09-01,29374.914,314.851,4.1,5.13,158314.0,102.5873,0.970424716016087,0.9490434364095776,0.0614035087719298,0.962121212121212,0.9686045703966104,0.9219208550863424
2024-10-01,29719.647,315.564,4.1,4.83,158358.0,102.1219,1.0,0.9576224281073278,0.0614035087719298,0.9053030303030303,0.9701326665277489,0.8979590785991571
2024-11-01,29719.647,316.449,4.2,4.64,158619.0,101.9736,1.0,0.9682709661893876,0.07017543859649125,0.8693181818181818,0.9791970549420018,0.8903236435904563
2024-12-01,29719.647,317.603,4.1,4.48,158942.0,102.9833,1.0,0.9821561785585369,0.0614035087719298,0.8390151515151516,0.990414669722859,0.9423094745296713
2025-01-01,29719.647,319.086,4.0,4.33,159067.0,103.511,1.0,1.0,0.052631578947368425,0.8106060606060607,0.9947558519135931,0.9694788545302889
2025-02-01,29719.647,319.086,4.1,4.33,159218.0,103.511,1.0,1.0,0.0614035087719298,0.8106060606060607,1.0,0.9694788545302889
